id	app	m	c	loc	scale
115	rsort	48	0.932807767	98.562	0.244419261
116	rsort	64	1.131214709	98.45925351	0.300095777
117	rsort	80	1.053606001	98.421318	0.269198684
118	rsort	96	1.046946972	98.39672838	0.2417565
119	rsort	128	1.288657487	98.34663012	0.365883443
120	vhtree	1	3.131050752	12.99486287	0.712482867
121	vhtree	2	12.84786794	26.70026712	6.48804087
122	vhtree	3	1.814771321	8.544288724	0.551052073
123	vhtree	4	1.942828648	16.83643872	6.424066224
124	vhtree	5	2.782775842	13.31854236	6.037183329
125	vhtree	6	4.131234844	12.50770893	7.387741971
126	vhtree	7	4.09565662	10.46541546	6.87935131
127	vhtree	8	4.809491196	11.54151546	8.205170054
128	vhtree	12	0.452605469	1.842	1.925351595
129	vhtree	16	0.443264212	1.598	5.076871681
130	vhtree	24	0.50842208	1.628	4.941326221
131	vhtree	32	0.449559458	1.189	4.344891832
132	vhtree	48	0.633205078	1.605	0.86044676
133	vhtree	64	0.611237308	0.961	0.860475647
134	vhtree	80	0.636456921	1.057	2.724971095
135	vhtree	96	0.653292042	1.467	0.607604017
136	vhtree	128	0.657753911	0.91	0.521885873
137	clean	1	1.195983714	98.71229185	0.066507876
138	clean	2	16.95282981	78.69671448	18.62204386
139	clean	3	0.773292041	93.34	12.98237756
140	clean	4	1.1693933	54.11634343	18.45559828
141	clean	5	7.861878093	71.31238193	24.39888806
142	clean	6	6.546753539	69.7189019	25.18647678
143	clean	7	0.668654856	46.74	23.17447788
144	clean	8	1.388879684	55.7191151	20.1675785
145	clean	12	3.399051561	62.38157253	25.15086619
146	clean	16	0.866074399	39.806	20.68902397
147	clean	24	1.931665503	32.38733253	21.09557899
148	clean	32	1.474900357	21.23948885	14.7893208
149	clean	48	0.618694346	9.037	5.816604174
150	clean	64	0.706571976	8.662	3.579440102
151	clean	80	0.794798835	7.8	3.166159935
152	clean	96	0.782833517	7.4	2.75545196
153	clean	128	0.716284005	5.224	2.007179488
154	twitter	1	1.224482864	95.89583405	0.403144092
155	twitter	2	24.12572096	60.89810453	34.31287578
156	twitter	3	0.829132168	88.255	11.65328514
157	twitter	4	33.08436177	60.57342957	36.551812
158	twitter	5	4.72588446	65.20661903	31.97036001
159	twitter	6	0.856096424	91.887	14.33722325
160	twitter	7	9.513335242	61.29222599	36.25476903
161	twitter	8	0.710901075	98.2	20.93778431
162	twitter	12	0.72473286	94.381	12.8887602
163	twitter	16	0.654669469	94.274	17.51885492
164	twitter	24	0.678181691	96.003	10.21432182
165	twitter	32	0.517049201	98.216	11.69824765
166	twitter	48	0.609219873	98.287	9.219762317
167	twitter	64	0.509587948	98.281	14.74682681
168	twitter	80	2.045766465	73.48346967	27.97088435
169	twitter	96	3.938609857	56.17780104	36.41190243
170	twitter	128	2.043601245	56.97189435	30.84747496
171	collision	1	2.317270697	61.49180021	5.116651073
172	collision	3	42.44916901	28.36690643	26.21740751
173	collision	5	35.71374323	28.56332172	26.80220203
174	collision	6	14.14813543	28.4725064	26.81473959
175	collision	8	15.50902615	28.69648794	26.78192776
176	collision	9	31.47013933	28.63416281	26.85021122
177	collision	11	28.69408102	28.88557932	27.0225945
178	collision	12	20.50137516	28.99884657	26.78641306
179	collision	14	23.67969796	29.12733265	26.9458934
