id	app	m	1	2	3	4	5	6
1	grep	1	2.059493485	2.054236631	2.055788033	2.058315122	2.049512858	2.06010534
2	grep	2	2.15897957	2.247033023	2.398882955	2.239069459	2.256097443	2.415373573
3	grep	3	2.506013242	2.525928896	2.654441078	2.57415787	2.67099106	2.391098387
4	grep	4	3.807685544	3.95490605	3.605472002	3.78399084	3.792844437	3.964520194
5	grep	5	3.843715181	4.035655622	3.924027404	4.321756408	4.060284986	3.944613938
6	grep	6	4.72741468	4.513801484	4.68400953	4.566888869	4.678268043	4.418515059
7	grep	7	6.17760372	6.037395248	6.201760842	5.895780598	5.503512921	5.86527737
8	grep	8	6.344474842	6.52227553	6.267341792	6.365976195	6.267516938	6.659687895
9	grep	12	9.752761585	9.347297956	9.479542528	9.950322206	9.542665778	9.13703368
10	grep	16	12.29285542	12.91641466	12.93179565	13.189268	12.58487596	12.39500049
11	grep	24	17.55584443	18.16947314	16.86450732	17.95659189	17.20092129	18.16073914
12	grep	32	21.68796052	21.88187432	21.65113433	22.55818472	22.25852748	21.06015775
13	grep	48	30.58407399	30.59021385	31.37152851	31.23375738	31.75056621	30.8770287
14	grep	64	35.9109336	33.47636058	34.92181402	31.53341144	33.76538497	35.2624519
15	grep	80	25.72672944	30.72569292	34.22369838	32.87042927	33.52749122	33.32284557
16	grep	96	31.73771029	32.38546685	34.56758204	34.07274901	32.46959089	34.41262471
17	grep	128	38.23906724	35.47388162	35.80355114	32.13358283	35.94405471	29.7744126
18	wc	1	0.517579309	0.675761513	0.518790886	0.517258957	0.504009442	0.679334522
19	wc	2	0.346882343	0.509832564	0.495225003	0.496387632	0.518979534	0.672398307
20	wc	3	1.02473909	1.025196129	1.026685453	1.020458949	0.85208433	0.695468015
21	wc	4	1.022835317	1.020043646	1.007298262	0.852487582	0.843944924	1.00901262
22	wc	5	1.208778082	1.498533337	1.019980569	1.026791062	1.02965006	1.176655897
23	wc	6	1.896184963	1.89776182	1.555032344	1.366227148	1.539644817	1.715201914
24	wc	7	1.707171789	1.370165639	1.374858269	1.701122654	1.544483254	1.863035262
25	wc	8	2.202215131	2.03958039	1.859884869	2.382696198	2.022122239	1.871926676
26	wc	12	3.097234527	2.928837346	2.765554102	2.918319083	2.937222904	2.568007764
27	wc	16	3.391285886	3.38205137	3.838601005	3.183887094	4.04959236	3.512041213
28	wc	24	4.879213688	3.809771529	4.051735115	3.977003616	4.830351695	4.310534534
29	wc	32	3.534776603	3.516695885	4.333990774	4.32183935	3.910993101	3.678788376
30	wc	48	7.421875715	6.526338483	6.617191219	6.626062597	5.620932214	6.679038171
31	wc	64	6.537812658	6.251648803	6.036249722	5.399538872	5.492855182	6.512313827
32	wc	80	6.124185357	6.20514426	6.093893052	6.189922359	6.526851295	8.304014336
33	wc	96	7.68879356	7.36486664	5.464794667	7.26332162	7.351373845	7.422671264
34	wc	128	9.544083564	9.555729379	9.556900043	9.445077104	9.517072515	9.464400927
35	sol	1	18.39442611	17.63911889	17.18777142	16.35893708	17.82852545	17.78344068
