id	app	m	mean	std
161	twitter	8	78.045	24.5692
162	twitter	12	85.8897	14.6581
163	twitter	16	80.4357	21.8446
164	twitter	24	89.1729	11.6663
165	twitter	32	88.9625	12.8303
166	twitter	48	89.195	11.0379
167	twitter	64	85.9813	15.6406
168	twitter	80	73.4125	27.5315
169	twitter	96	64.5568	33.5854
170	twitter	128	59.8731	31.34
171	collision	1	61.8863	4.97691
172	collision	3	36.8213	24.44
173	collision	5	33.5413	25.9006
174	collision	6	36.5148	24.6494
175	collision	8	34.6721	25.2969
176	collision	9	37.1266	24.9606
177	collision	11	35.7444	25.5763
178	collision	12	37.2603	24.7699
179	collision	14	36.2766	25.3311
